CustomerID,Account,FirstName,LastName,Address,City,State,Territory,DayOfBirth,Gender
1,bortiz@yahoo.com,Renee,Patterson,090 Joseph Inlet Suite 433,Elizabethton,Oklahoma,West South Central,1968-08-23,Female
2,john12@santana-tucker.org,Julie,Parker,7552 Henderson Courts,North Hollyberg,Rhode Island,New England,1971-05-09,Female
3,nicole57@holden-choi.com,Renee,Goodman,442 Lam Skyway Apt. 797,North Kristytown,Washington,Pacific,1982-12-02,Female
4,smithjohnny@gonzales.com,Daniel,Aguirre,0718 Evans Glen,Nicolehaven,New York,Middle Atlantic,1965-03-30,Male
5,briansaunders@jimenez.com,Karen,Dawson,77300 Hill Fields Suite 077,Lake Veronica,Colorado,Mountain,1991-07-23,Female
6,monica80@hotmail.com,Robert,Jimenez,998 Reginald Fall,Johnsonview,Vermont,New England,1977-11-15,Male
7,stacy86@wilson-key.net,Curtis,Morrow,27946 Debra Rapid Suite 283,North Arielbury,Nevada,Mountain,1983-11-29,Male
8,brennanmichelle@yahoo.com,Adrian,Wood,299 Sandra Crossroad,Smithborough,Delaware,South Atlantic,1961-10-02,Male
9,james91@wong.info,Julie,Flynn,41518 Sara Club Apt. 570,Washingtonview,Arkansas,West South Central,1991-10-21,Female
10,alicesalazar@yahoo.com,Christopher,Smith,66986 Brooks Light Apt. 743,Bonniehaven,Maryland,South Atlantic,1987-10-26,Male
11,zfrye@yahoo.com,Susan,Elliott,93837 Ruiz Points Suite 516,Middletontown,New Hampshire,New England,1977-02-26,Female
12,dylan91@gallegos-jenkins.net,Matthew,Williams,311 Yang Drive,Smithbury,Tennessee,East South Central,1988-12-10,Male
13,sharonbaker@gmail.com,Adrienne,Higgins,61606 Harper Shoals,Port Jackson,Michigan,East North Central,1968-02-02,Female
14,ethan92@hotmail.com,Cindy,Mcintyre,916 Shelton Vista Apt. 105,Clarkberg,Nevada,Mountain,1969-07-29,Female
15,mitchellcheryl@yahoo.com,Richard,Morrison,5066 Johnson Rapids,North Michael,Indiana,East North Central,1991-07-18,Male
16,andrew65@johnson.biz,Derek,Alvarez,12624 Lucas Key,Deanmouth,West Virginia,South Atlantic,1976-09-05,Male
17,david40@brewer.com,Jermaine,Ewing,548 Davis Cliff Apt. 748,Smithmouth,Montana,Mountain,2000-01-03,Male
18,suzannedecker@taylor.com,Brian,Schwartz,545 Susan Junctions Suite 206,West Davidhaven,New Hampshire,New England,1986-04-03,Male
19,josephjensen@yahoo.com,Michael,Greene,923 David Harbor,Port Tanyaburgh,Nebraska,West North Central,1969-02-25,Male
20,pinedaalexis@baker.com,Renee,Davidson,9986 Harmon Mission Suite 047,West Bradley,Nebraska,West North Central,1966-05-26,Female
21,hectorwallace@gmail.com,April,Hood,3018 Brown Mall,Stephenburgh,New Mexico,Mountain,1999-10-21,Female
22,victoria73@castaneda.com,Courtney,Nielsen,818 Stevens Valleys,South Michellestad,Missouri,West North Central,1985-05-13,Female
23,kellybrown@cannon-anderson.com,Judith,Hogan,89031 William Gardens,Josephton,Ohio,East North Central,1986-08-02,Female
24,kjefferson@hotmail.com,Lisa,Silva,2218 Kenneth Mountains,Courtneybury,California,Pacific,1998-08-02,Female
25,kayla39@cummings.com,Shawn,Gray,6827 Anna Road,Vasquezmouth,Florida,South Atlantic,1970-06-07,Male
26,shawelizabeth@hotmail.com,David,Wells,80760 Williams Track Suite 892,Gordonville,Texas,West South Central,1966-09-21,Male
27,mackenzie06@gmail.com,Tonya,Mejia,207 Wilson Spurs,Warnerville,Connecticut,New England,1971-11-22,Female
28,cmcclure@watkins.net,Jason,Rowe,99512 Christian Fall,West Zacharytown,Illinois,East North Central,1989-11-06,Male
29,gregory98@washington-bush.net,Andrea,Lyons,1499 Anderson Bypass,West Stephanieland,Colorado,Mountain,1991-10-06,Female
30,johnsonchloe@potts-franklin.biz,Thomas,Huerta,4191 Jeanette Meadow Suite 657,Racheltown,Iowa,West North Central,1993-04-04,Male
