CustomerID,Account,FirstName,LastName,Address,City,State,Territory,DayOfBirth,Gender
1,michael65@hampton.biz,Vanessa,Vasquez,7285 Anthony Mountains Suite 281,South Mckenziemouth,Indiana,East North Central,1979-03-06,Female
2,sheilaharris@hernandez.org,Stephanie,Washington,32223 Diane Union Suite 793,Michellechester,Virginia,South Atlantic,1994-06-05,Female
3,iwright@lewis.net,Kathleen,Phillips,9805 Pierce Ferry Suite 373,North Frankside,Washington,Pacific,1977-08-19,Female
4,vbarber@hotmail.com,Theodore,Hahn,43790 Brown Square,Pruitthaven,Vermont,New England,1992-02-04,Male
5,frank82@yahoo.com,Kristin,Williams,81484 Joseph Way Suite 046,Melissaland,Texas,West South Central,1973-04-19,Female
6,sherry26@yahoo.com,Elizabeth,Wright,00068 Hernandez Pine,Yoderberg,Pennsylvania,Middle Atlantic,1982-05-16,Female
7,powerstravis@hotmail.com,James,Chung,4764 Shannon Points Apt. 867,West Nicole,Arizona,Mountain,1956-01-06,Male
8,catherinelang@craig-harrell.biz,Rachel,Johnson,160 Cooper Avenue Apt. 765,North Kellybury,Connecticut,New England,1991-05-19,Female
9,markguzman@english.biz,Amber,Smith,8443 Samantha Light Apt. 431,Kristyfurt,North Dakota,West North Central,1982-01-30,Female
10,ashley54@gmail.com,Laura,Jackson,743 Jamie Street Apt. 586,Port Joshua,New Jersey,Middle Atlantic,1963-07-24,Female
11,savagedenise@choi-lopez.com,Bryce,Fletcher,7431 Hodge Trail,Bethfurt,Virginia,South Atlantic,1999-11-03,Male
12,curryangela@wall.biz,Luis,Foster,96401 Leah Mill,Troyfort,Kansas,West North Central,1957-07-25,Male
13,darrellbecker@coleman.net,Devin,Johnson,0799 Lawrence View,Nicolechester,Texas,West South Central,1972-11-05,Male
14,jill11@yahoo.com,Shane,Wright,073 Lucas Streets,New Carmenport,Virginia,South Atlantic,1987-12-26,Male
15,robleskaren@hotmail.com,Jared,Velazquez,1679 House Harbors Apt. 649,Lake Amanda,North Carolina,South Atlantic,1989-09-15,Male
16,sararojas@gmail.com,Joshua,Sanchez,635 Ochoa Ramp,Michaelside,Vermont,New England,1992-02-22,Male
17,cynthiachandler@terry.info,Shawn,Lewis,81500 Rose Fields Suite 095,Karenburgh,Ohio,East North Central,1961-02-24,Male
18,santanajanet@salinas-mata.com,Stephanie,Matthews,589 Meagan Falls,Grantberg,New Hampshire,New England,1993-07-22,Female
19,bradley39@hotmail.com,Nicole,Dunn,06307 Santiago Parks Apt. 723,East Amanda,South Dakota,West North Central,1970-12-19,Female
20,steeleamber@alexander.biz,Stacey,Case,762 Gregory Summit,Port Barbaramouth,Kentucky,East South Central,1978-10-15,Female
21,natalie71@gmail.com,Kimberly,Fischer,48275 Kyle Pike Apt. 124,Hillmouth,Massachusetts,New England,1993-02-25,Female
